ts	class	store	project	session	branch	patterns	strong	subsystems	hash	textlen	excerpt
2026-05-26T11:23:32.962Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	bluff,not_work	not_work	video_playback,display_ui,device_stability,build_test_infra	cc9008f82975	2493	Make sure we document the following rules and mandatory constraints into out root (constitution Submodule) Constitution.md, CLAUDE …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-05-27T03:48:38.719Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	bluff,not_work	not_work	display_ui,network,build_test_infra	648caa7ebbca	2086	IMPORTANT: We MUST be sure that there are no obstacles or issues with any of communication stacks we have when contet is downloade …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-05-28T04:50:18.627Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	not_work	not_work	video_playback,display_ui,device_stability,build_test_infra	871a0058c1e0	1883	IMPORTANT: If possible we should check which screens during the Google onboarding process are mandatory for us and which ones is p …[match]… or us and which ones is possible to skip. For example, mirgation (copying from other devices). We do not need this step, it can be disabled / skipped entirely. Do not interrupt main work stream, this can be investogated (deep web research) in background in parallel with main work stream! Everything MUST BE properly documented (all findings), proper plans and steps prepared. We
2026-05-28T06:45:06.936Z	D_directive_context	shared	DATA4TB-Android-15	4b319648	main	not_work	not_work	video_playback,build_test_infra	688c661ff20d	473	Note: Keep some proper documentation in Status form we have for DX devices and serial numbers and other proper details about Orang …[match]…  are linked properly with our main README and available in all mandatory formats! Do all this work in parallel with main work stream! Do it in background so it does not affect main work efforts we do in main work stream! Commit and push all documentation updates to all upstreams!
2026-05-28T08:00:19.133Z	D_directive_context	shared	DATA4TB-Android-15	4b319648	main	not_work	not_work	audio,video_playback,build_test_infra	08253b4dcec7	418	Inside the /run/media/milosvasic/DATA4TB/Downloads/Incoming dire there are Movies and Music directories. Push contents of bith dir …[match]… OSphere devices via ADB! Do this in background parallel with current main work stream. Let us know when all content is copied so we can play those media files! Do not block main work stream!
2026-05-28T08:38:22.121Z	A_defect_report	shared	DATA4TB-Android-15	4b319648	main	crash,not_work,same_again	not_work,same_again	subtitles,audio,video_playback,display_ui,device_stability,build_test_infra	b715a28e02d3	2816	IMPORTANT: We have tested playback of movies from Movies directory using MVP player, ATMOSphere VLC Player and VLC Lite players. M …[match]… epth tests which will fully automatically validate and verify all fixes made by obtaining real proofs of smooth playback! Subtitles MUST appear on 2nd display! Same issue we have with video streaming apps! Document everything, investigate and debug and fix all root causes of problems, cover it all with all supported types of the tests and obtain real physical proofs! No false 
2026-05-28T09:15:33.758Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	not_work	not_work	audio,video_playback,display_ui,build_test_infra	395caa825cbc	2989	IMPORTANT: Dive deep into HelixQA Submodule and what it can do, what is supported and how to be fully integrated into our project. …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-05-28T11:04:19.334Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	bluff,not_work	not_work	audio,video_playback,display_ui,network,build_test_infra	6bc4e88cc262	2496	IMPORTANT: We MUST check for all content being played - all videos - video streams from the internet, or offline videos we play, f …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-05-28T17:46:27.393Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	not_work	not_work	boot_flash,device_stability,build_test_infra	c75a86c24eea	2291	IMPORTANT: when working in endless working loop fully autonomously try to devide most properly about points which would block exec …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-05-29T02:06:37.186Z	D_qa_pressure	shared	DATA4TB-Android-15	4b319648	main	manual_qa	manual_qa	build_test_infra	31e6d272c77c	48	keep going, report when manual testing is needed
2026-05-29T04:25:10.820Z	A_defect_report	shared	DATA4TB-Android-15	4b319648	main	same_again	same_again	video_playback,boot_flash,build_test_infra	e3ddfc3b6c27	392	IMPORTANT: Do prioritize all workable items related to the licensing or making YouTube and Google Apps stack un-locked and prevent …[match]… IMPORTANT: Do prioritize all workable items related to the licensing or making YouTube and Google Apps stack un-locked and prevent any locking. We again got same error message when tried to use YouTube, device is not certified ... etc ... Yesterday with same flashed image we used to play videos! Do these workable items as soon as you cleanu current to priority items we have be
2026-05-29T05:32:52.115Z	E_carrier_covenant	shared	DATA4TB-Android-15	4b319648	main	not_work	not_work	video_playback,display_ui,device_stability,build_test_infra	584fdeb41678	3880	Do the following task in the background, parallel with main work stream: we MUST create the mechanism (the flow) which will connec …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-05-29T10:25:27.895Z	A_defect_report	shared	DATA4TB-Android-15	4b319648	main	not_work,still_bad	not_work,still_bad	subtitles,video_playback,display_ui,build_test_infra	68f5770fdbfb	442	These are findings: YouTube still does not work because of the licensing (same) issue, subtitles are still being played on 1st dis
2026-06-23T11:13:17.346Z	B_recurrence_meta	shared	DATA4TB-Android-15	93f6aeeb	main	reopen	reopen	subtitles,video_playback,display_ui,device_stability,build_test_infra	b70bcd925b83	1428	CRITICAL: Take into the account lost time for us to confimr video appls (local and video streaming) playing as expected on 2nd dis …[match]…  streaming) playing as expected on 2nd display with subtitles. So far we have not been able to properly fix, test and really validate changes without bluff and reopened related workable itms dozen times with no final confirmation of ork really been done! For this to stop happening with these features, or any others WE MUST perfrom deep analisys + deep web research on how to so
2026-06-27T19:20:56.958Z	D_directive_context	shared	-run-media-milosvasic-DATA4TB-Projects	3d79bb2d	HEAD	broken,same_again	same_again	video_playback,device_stability,build_test_infra	c00684699434	1623	On mistborn.local host the env. variable exported from .zshrc defines the path to our Projects root directory on that host. Variab …[match]… ication for anything broken, out of sunc or out of date, for any signs of corruption, the commit and push all projects and all its Submodules fully recursively once again! All projects main repos and all of its Submodules fully recursively MUST BE fully stable and clean and ready to continue all work from this host machine! Keep us updated about the progress and all important 
